"codigounic,""COMUNA_SII"",""MANZ"",""PREDIO"",""AVALUO"",""SUP_TERR"",""ANO_CONSTR"",""SUP_CONSTR"",""UF_TRANS"",""COMUNA"",""Casas_UFPr"",""Depto_UFPr"",""IMORANCASA"",""IMORANDPTO"",""Ten_Metro"",""Ten_MetroC"""
"13101-1-100,13101,1,100,25234062,0,1969,65,1299,""SANTIAGO"",18.4085146894,23.559581288,0.00942562116661,0.340745583136,1,1"
"13101-1-105,13101,1,105,31833993,0,1969,82,2124,""SANTIAGO"",18.4085146894,23.559581288,0.00942562116661,0.340745583136,1,1"
"13101-1-134,13101,1,134,30807417,0,1945,90,1000,""SANTIAGO"",18.4085146894,23.559581288,0.00942562116661,0.340745583136,1,1"
"13101-1-27,13101,1,27,30749278,0,1955,86,2388,""SANTIAGO"",18.4085146894,23.559581288,0.00942562116661,0.340745583136,1,1"
"13101-1-51,13101,1,51,94458570,0,1958,270,8244,""SANTIAGO"",18.4085146894,23.559581288,0.00942562116661,0.340745583136,1,1"
"13101-1-53,13101,1,53,94458570,0,1958,270,6967,""SANTIAGO"",18.4085146894,23.559581288,0.00942562116661,0.340745583136,1,1"
"13101-1-69,13101,1,69,519534932,326,1931,2108,22858,""SANTIAGO"",18.4085146894,23.559581288,0.00942562116661,0.340745583136,1,1"
"13101-1-69,13101,1,69,519534932,326,1931,2108,66000,""SANTIAGO"",18.4085146894,23.559581288,0.00942562116661,0.340745583136,1,1"
"13101-1001-113,13101,1001,113,30382078,0,1972,74,1326,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-115,13101,1001,115,30792507,0,1972,75,876,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-19,13101,1001,19,31204233,0,1972,76,1397,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-31,13101,1001,31,30792506,0,1972,75,1726,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-42,13101,1001,42,30792507,0,1972,75,860,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-53,13101,1001,53,30382078,0,1972,74,1450,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-60,13101,1001,60,30792507,0,1972,75,1763,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-63,13101,1001,63,30792507,0,1972,75,1294,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-75,13101,1001,75,30792507,0,1972,75,2098,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-75,13101,1001,75,30792507,0,1972,75,1740,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-76,13101,1001,76,30792507,0,1972,75,1743,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-83,13101,1001,83,29561222,0,1972,72,1329,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-97,13101,1001,97,30792507,0,1972,75,1510,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1001-99,13101,1001,99,30792507,0,1972,75,1391,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-101,13101,1002,101,31547553,0,1972,75,1686,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-110,13101,1002,110,31547553,0,1972,75,1436,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-23,13101,1002,23,31547553,0,1972,75,1192,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-23,13101,1002,23,31547553,0,1972,75,848,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-47,13101,1002,47,31547553,0,1972,75,1969,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-59,13101,1002,59,31547553,0,1972,75,1628,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-59,13101,1002,59,31547553,0,1972,75,1593,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-61,13101,1002,61,31127450,0,1972,74,1816,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-74,13101,1002,74,31547553,0,1972,75,1113,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-77,13101,1002,77,31547553,0,1972,75,1401,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1002-83,13101,1002,83,31547553,0,1972,75,1715,""SANTIAGO"",15.8817275573,21.3059126666,-0.000647430776362,0.213109675686,1,1"
"13101-1004-10,13101,1004,10,26419261,0,1972,70,1960,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-114,13101,1004,114,25286815,0,1972,67,797,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-21,13101,1004,21,25286815,0,1972,67,1945,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-38,13101,1004,38,24154369,0,1972,64,1710,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-41,13101,1004,41,24154369,0,1972,64,1579,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-47,13101,1004,47,24154369,0,1972,64,1752,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-49,13101,1004,49,26419261,0,1972,70,1599,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1004-6,13101,1004,6,26419261,0,1972,70,1250,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
